id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
167,Tramoni M.,Matteo Tramoni,Sborada,Pisa,Pisa Sporting Club,matteo tramoni,tramoni m.
131,Dele-Bashiru,Fisayo Dele-Bashiru,AC Ciaccati,Lazio,Società Sportiva Lazio S.p.A.,fisayo dele-bashiru,dele-bashiru
180,Gagliardini,Roberto Gagliardini,Svincolato,Verona,Verona Hellas Football Club,roberto gagliardini,gagliardini
183,Sorensen O.,Oliver Sørensen,Svincolato,Parma,Parma Calcio 1913,oliver sorensen,sorensen o.
201,Bernede,Antoine Bernede,Svincolato,Verona,Verona Hellas Football Club,antoine bernede,bernede
171,Miretti,Fabio Miretti,Diablitos FC,Juventus,Juventus Football Club,fabio miretti,miretti
211,Matic,Nemanja Matić,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,nemanja matic,matic
212,Sottil,Riccardo Sottil,Svincolato,Lecce,Unione Sportiva Lecce,riccardo sottil,sottil
155,El Aynaoui,Neil El Aynaoui,ZeroDayz FC,Roma,Associazione Sportiva Roma,neil el aynaoui,el aynaoui
209,Ellertsson,Mikael Egill Ellertsson,AC Ciaccati,Genoa,Genoa Cricket and Football Club,mikael egill ellertsson,ellertsson
218,Pobega,Tommaso Pobega,Metodo Monchi FC,Bologna,Bologna Football Club 1909,tommaso pobega,pobega
178,Freuler,Remo Freuler,CyberDucks,Bologna,Bologna Football Club 1909,remo freuler,freuler
199,Zhegrova,Edon Zhegrova,Diablitos FC,Juventus,Juventus Football Club,edon zhegrova,zhegrova
202,Karlstrom,Jesper Karlström,AC Ciaccati,Udinese,Udinese Calcio,jesper karlstrom,karlstrom
166,El Shaarawy,Stephan El Shaarawy,Svincolato,Roma,Associazione Sportiva Roma,stephan el shaarawy,el shaarawy
204,Moro N.,Nikola Moro,Svincolato,Bologna,Bologna Football Club 1909,nikola moro,moro n.
198,De Roon,Marten de Roon,Sborada,Atalanta,Atalanta Bergamasca Calcio S.p.a.,marten de roon,de roon
203,Folorunsho,Michael Folorunsho,Sborada,Cagliari,Cagliari Calcio,michael folorunsho,folorunsho
875,Harrison,Jack Harrison,AC Ciaccati,Fiorentina,Associazione Calcio Fiorentina,jack harrison,harrison
231,Sucic P.,Petar Sučić,Diablitos FC,Inter,Football Club Internazionale Milano S.p.A.,petar sucic,sucic p.
197,Fagioli,Nicolò Fagioli,Metodo Monchi FC,Fiorentina,Associazione Calcio Fiorentina,nicolo fagioli,fagioli
230,Locatelli,Manuel Locatelli,Baby Reijnders,Juventus,Juventus Football Club,manuel locatelli,locatelli
194,Casadei,Cesare Casadei,Sborada,Torino,Torino Calcio,cesare casadei,casadei
224,Coulibaly L.,Lassana Coulibaly,Svincolato,Lecce,Unione Sportiva Lecce,lassana coulibaly,coulibaly l.
210,Caqueret,Maxence Caqueret,Diaolo Porco,Como,Calcio Como,maxence caqueret,caqueret
