id,giro,numero,detentore_att,detentore_originale,id_giocatore_scelto,anno
404,2,,Diablitos FC,Diablitos FC,,2037-01-01
405,2,,Diaolo Porco,Diaolo Porco,,2037-01-01
406,2,,FC Pontos,FC Pontos,,2037-01-01
407,2,,FC Sovescio,FC Sovescio,,2037-01-01
408,2,,Metodo Monchi FC,Metodo Monchi FC,,2037-01-01
409,2,,Sborada,Sborada,,2037-01-01
410,2,,ZeroDayz FC,ZeroDayz FC,,2037-01-01
411,3,,AC Ciaccati,AC Ciaccati,,2037-01-01
413,3,,CyberDucks,CyberDucks,,2037-01-01
414,3,,Diablitos FC,Diablitos FC,,2037-01-01
415,3,,Diaolo Porco,Diaolo Porco,,2037-01-01
416,3,,FC Pontos,FC Pontos,,2037-01-01
417,3,,FC Sovescio,FC Sovescio,,2037-01-01
418,3,,Metodo Monchi FC,Metodo Monchi FC,,2037-01-01
419,3,,Sborada,Sborada,,2037-01-01
420,3,,ZeroDayz FC,ZeroDayz FC,,2037-01-01
421,1,,AC Ciaccati,AC Ciaccati,,2038-01-01
423,1,,CyberDucks,CyberDucks,,2038-01-01
424,1,,Diablitos FC,Diablitos FC,,2038-01-01
425,1,,Diaolo Porco,Diaolo Porco,,2038-01-01
426,1,,FC Pontos,FC Pontos,,2038-01-01
427,1,,FC Sovescio,FC Sovescio,,2038-01-01
428,1,,Metodo Monchi FC,Metodo Monchi FC,,2038-01-01
429,1,,Sborada,Sborada,,2038-01-01
430,1,,ZeroDayz FC,ZeroDayz FC,,2038-01-01
431,2,,AC Ciaccati,AC Ciaccati,,2038-01-01
433,2,,CyberDucks,CyberDucks,,2038-01-01
434,2,,Diablitos FC,Diablitos FC,,2038-01-01
435,2,,Diaolo Porco,Diaolo Porco,,2038-01-01
436,2,,FC Pontos,FC Pontos,,2038-01-01
437,2,,FC Sovescio,FC Sovescio,,2038-01-01
438,2,,Metodo Monchi FC,Metodo Monchi FC,,2038-01-01
439,2,,Sborada,Sborada,,2038-01-01
440,2,,ZeroDayz FC,ZeroDayz FC,,2038-01-01
441,3,,AC Ciaccati,AC Ciaccati,,2038-01-01
443,3,,CyberDucks,CyberDucks,,2038-01-01
444,3,,Diablitos FC,Diablitos FC,,2038-01-01
445,3,,Diaolo Porco,Diaolo Porco,,2038-01-01
446,3,,FC Pontos,FC Pontos,,2038-01-01
447,3,,FC Sovescio,FC Sovescio,,2038-01-01
448,3,,Metodo Monchi FC,Metodo Monchi FC,,2038-01-01
449,3,,Sborada,Sborada,,2038-01-01
450,3,,ZeroDayz FC,ZeroDayz FC,,2038-01-01
451,1,,AC Ciaccati,AC Ciaccati,,2039-01-01
453,1,,CyberDucks,CyberDucks,,2039-01-01
454,1,,Diablitos FC,Diablitos FC,,2039-01-01
455,1,,Diaolo Porco,Diaolo Porco,,2039-01-01
456,1,,FC Pontos,FC Pontos,,2039-01-01
457,1,,FC Sovescio,FC Sovescio,,2039-01-01
458,1,,Metodo Monchi FC,Metodo Monchi FC,,2039-01-01
459,1,,Sborada,Sborada,,2039-01-01
460,1,,ZeroDayz FC,ZeroDayz FC,,2039-01-01
461,2,,AC Ciaccati,AC Ciaccati,,2039-01-01
463,2,,CyberDucks,CyberDucks,,2039-01-01
464,2,,Diablitos FC,Diablitos FC,,2039-01-01
465,2,,Diaolo Porco,Diaolo Porco,,2039-01-01
466,2,,FC Pontos,FC Pontos,,2039-01-01
467,2,,FC Sovescio,FC Sovescio,,2039-01-01
468,2,,Metodo Monchi FC,Metodo Monchi FC,,2039-01-01
469,2,,Sborada,Sborada,,2039-01-01
470,2,,ZeroDayz FC,ZeroDayz FC,,2039-01-01
471,3,,AC Ciaccati,AC Ciaccati,,2039-01-01
473,3,,CyberDucks,CyberDucks,,2039-01-01
474,3,,Diablitos FC,Diablitos FC,,2039-01-01
475,3,,Diaolo Porco,Diaolo Porco,,2039-01-01
476,3,,FC Pontos,FC Pontos,,2039-01-01
477,3,,FC Sovescio,FC Sovescio,,2039-01-01
478,3,,Metodo Monchi FC,Metodo Monchi FC,,2039-01-01
479,3,,Sborada,Sborada,,2039-01-01
480,3,,ZeroDayz FC,ZeroDayz FC,,2039-01-01
481,1,,AC Ciaccati,AC Ciaccati,,2040-01-01
483,1,,CyberDucks,CyberDucks,,2040-01-01
484,1,,Diablitos FC,Diablitos FC,,2040-01-01
485,1,,Diaolo Porco,Diaolo Porco,,2040-01-01
486,1,,FC Pontos,FC Pontos,,2040-01-01
487,1,,FC Sovescio,FC Sovescio,,2040-01-01
488,1,,Metodo Monchi FC,Metodo Monchi FC,,2040-01-01
489,1,,Sborada,Sborada,,2040-01-01
490,1,,ZeroDayz FC,ZeroDayz FC,,2040-01-01
491,2,,AC Ciaccati,AC Ciaccati,,2040-01-01
493,2,,CyberDucks,CyberDucks,,2040-01-01
494,2,,Diablitos FC,Diablitos FC,,2040-01-01
495,2,,Diaolo Porco,Diaolo Porco,,2040-01-01
496,2,,FC Pontos,FC Pontos,,2040-01-01
497,2,,FC Sovescio,FC Sovescio,,2040-01-01
498,2,,Metodo Monchi FC,Metodo Monchi FC,,2040-01-01
499,2,,Sborada,Sborada,,2040-01-01
500,2,,ZeroDayz FC,ZeroDayz FC,,2040-01-01
501,3,,AC Ciaccati,AC Ciaccati,,2040-01-01
503,3,,CyberDucks,CyberDucks,,2040-01-01
504,3,,Diablitos FC,Diablitos FC,,2040-01-01
505,3,,Diaolo Porco,Diaolo Porco,,2040-01-01
506,3,,FC Pontos,FC Pontos,,2040-01-01
507,3,,FC Sovescio,FC Sovescio,,2040-01-01
508,3,,Metodo Monchi FC,Metodo Monchi FC,,2040-01-01
509,3,,Sborada,Sborada,,2040-01-01
